sample_index,roll_id,die_index,value,held,source,rescued,rescue_kind,escape_recovered,stuck_reroll,stuck_nudge,stuck_reason,final_align,unsettled_secs,floor_stuck_secs,final_angular_speed,final_linear_speed,final_x,final_z,final_height,spawn_x,spawn_y,spawn_z,roll_duration_secs
10050,7840,0,1,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0880,-0.0451,0.0215,-0.0569,0.0575,-0.0648,1.050
10051,7840,1,5,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0615,-0.0814,0.0215,0.0444,0.0574,-0.0503,1.050
10052,7840,2,3,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0145,-0.0245,0.0215,0.0056,0.0669,0.0056,1.050
10053,7840,3,2,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0941,0.0946,0.0215,-0.0436,0.0533,0.0562,1.050
10054,7840,4,2,false,batch,false,,false,false,false,,0.989,0.000,0.000,0.0000,0.0000,0.0450,0.0635,0.0238,0.0599,0.0873,0.0647,1.050
10055,7841,0,2,false,batch,true,stacked,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0761,-0.0973,0.0215,-0.0485,0.0652,-0.0480,0.767
10056,7841,1,1,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0413,-0.0600,0.0215,0.0514,0.0728,-0.0621,0.767
10057,7841,2,4,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0400,-0.0608,0.0215,0.0106,0.0620,-0.0029,0.767
10058,7841,3,4,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0634,0.0433,0.0215,-0.0609,0.0880,0.0490,0.767
10059,7841,4,2,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0480,0.0441,0.0215,0.0480,0.0618,0.0515,0.767
10060,7842,0,3,false,batch,true,stacked,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0712,-0.0510,0.0215,-0.0557,0.0609,-0.0571,0.867
10061,7842,1,2,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0850,-0.0971,0.0216,0.0561,0.0571,-0.0511,0.867
10062,7842,2,1,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0483,-0.0615,0.0216,-0.0057,0.0772,-0.0033,0.867
10063,7842,3,1,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0838,0.0761,0.0215,-0.0497,0.0598,0.0520,0.867
10064,7842,4,2,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0361,0.0505,0.0215,0.0502,0.0793,0.0507,0.867
10065,7843,0,3,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0707,-0.0635,0.0215,-0.0537,0.0638,-0.0666,0.917
10066,7843,1,2,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0820,0.0229,0.0216,0.0470,0.0635,-0.0448,0.917
10067,7843,2,1,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0037,-0.0118,0.0216,-0.0054,0.0679,-0.0005,0.917
10068,7843,3,1,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0870,0.0887,0.0215,-0.0442,0.0796,0.0552,0.917
10069,7843,4,6,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0511,0.0799,0.0215,0.0557,0.0662,0.0456,0.917
10070,7844,0,6,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0463,-0.0282,0.0215,-0.0592,0.0670,-0.0536,1.333
10071,7844,1,6,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0972,-0.0940,0.0215,0.0512,0.0544,-0.0543,1.333
10072,7844,2,3,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0524,-0.0652,0.0215,0.0055,0.0891,0.0111,1.333
10073,7844,3,3,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0959,0.0972,0.0215,-0.0531,0.0699,0.0441,1.333
10074,7844,4,5,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,0.0563,0.0445,0.0215,0.0604,0.0805,0.0583,1.333
10075,7845,0,6,false,batch,false,,false,false,false,,1.000,0.000,0.000,0.0000,0.0000,-0.0912,-0.0537,0.0215,-0.0631,0.0736,-0.0523,1.017
