sample_index,roll_id,die_index,value,held,source,rescued,rescue_kind,escape_recovered,stuck_reroll,stuck_nudge,stuck_reason,final_align,unsettled_secs,final_x,final_z,final_height,spawn_x,spawn_y,spawn_z,roll_duration_secs
10000,8001,0,3,false,batch,false,,false,false,false,,1.000,0.000,-0.0846,-0.0625,0.0215,-0.0561,0.0748,-0.0657,0.550
10001,8001,1,3,false,batch,false,,false,false,false,,1.000,0.000,0.0743,-0.0364,0.0215,0.0624,0.0684,-0.0495,0.550
10002,8001,2,1,false,batch,false,,false,false,false,,1.000,0.000,0.0029,-0.0866,0.0216,0.0114,0.0707,-0.0024,0.550
10003,8001,3,3,false,batch,false,,false,false,false,,1.000,0.000,-0.0474,0.0689,0.0215,-0.0458,0.0856,0.0660,0.550
10004,8001,4,5,false,batch,false,,false,false,false,,1.000,0.000,0.0780,0.0917,0.0215,0.0506,0.0661,0.0545,0.550
10000,8002,0,2,false,batch,false,,false,false,false,,1.000,0.000,-0.0593,-0.0465,0.0215,-0.0635,0.0839,-0.0651,0.950
10001,8002,1,3,false,batch,false,,false,false,false,,1.000,0.000,0.0501,-0.0733,0.0215,0.0604,0.0603,-0.0589,0.950
10002,8002,2,4,false,batch,false,,false,false,false,,1.000,0.000,0.0025,-0.0170,0.0216,0.0050,0.0574,-0.0087,0.950
10003,8002,3,1,false,batch,false,,false,false,false,,1.000,0.000,-0.0619,0.0589,0.0215,-0.0619,0.0625,0.0598,0.950
10004,8002,4,1,false,batch,false,,false,false,false,,1.000,0.000,0.0516,0.0659,0.0215,0.0508,0.0635,0.0609,0.950
10000,8003,0,5,false,batch,false,,false,false,false,,1.000,0.000,-0.0330,-0.0475,0.0215,-0.0482,0.0830,-0.0527,1.317
10001,8003,1,5,false,batch,false,,false,false,false,,1.000,0.000,0.0754,-0.0791,0.0215,0.0455,0.0794,-0.0464,1.317
10002,8003,2,2,false,batch,false,,false,false,false,,1.000,0.000,0.0101,-0.0122,0.0216,-0.0114,0.0835,-0.0059,1.317
10003,8003,3,3,false,batch,false,,false,false,false,,1.000,0.000,-0.0457,0.0384,0.0215,-0.0456,0.0614,0.0490,1.317
10004,8003,4,3,false,batch,false,,false,false,false,,1.000,0.000,0.0523,0.0495,0.0215,0.0650,0.0558,0.0528,1.317
10000,8004,0,3,false,batch,false,,false,false,false,,1.000,0.000,-0.0473,-0.0566,0.0215,-0.0522,0.0683,-0.0576,0.883
10001,8004,1,4,false,batch,false,,false,false,false,,1.000,0.000,0.0472,-0.0886,0.0215,0.0578,0.0790,-0.0657,0.883
10002,8004,2,1,false,batch,false,,false,false,false,,1.000,0.000,0.0318,-0.0161,0.0216,-0.0113,0.0514,-0.0008,0.883
10003,8004,3,6,false,batch,false,,false,false,false,,1.000,0.000,-0.0679,0.0596,0.0215,-0.0527,0.0585,0.0496,0.883
10004,8004,4,5,false,batch,false,,false,false,false,,1.000,0.000,0.0741,0.0712,0.0215,0.0646,0.0804,0.0642,0.883
10000,8005,0,6,false,batch,false,,false,false,false,,1.000,0.000,-0.0584,-0.0819,0.0215,-0.0542,0.0782,-0.0576,1.000
10001,8005,1,2,false,batch,true,stacked,false,false,false,,0.955,0.000,0.0900,-0.0827,0.0255,0.0592,0.0679,-0.0565,1.000
10002,8005,2,5,false,batch,false,,false,false,false,,1.000,0.000,-0.0832,-0.0338,0.0216,-0.0017,0.0808,-0.0016,1.000
