index,value
0,4
1,1
2,3
3,1
4,2
5,1
6,6
7,3
8,3
9,3
10,1
11,1
12,2
13,6
14,4
15,6
16,1
17,3
18,4
19,4
20,1
21,1
22,1
23,3
24,2
25,1
26,6
27,5
28,5
29,3
30,1
31,6
32,5
33,5
34,3
35,5
36,4
37,2
38,3
39,1
40,5
41,4
42,2
43,3
44,1
45,5
46,4
47,6
48,6
49,4
50,5
51,4
52,6
53,6
54,4
55,1
56,4
57,3
58,4
59,1
60,1
61,4
62,3
63,4
64,1
65,5
66,6
67,5
68,2
69,6
70,5
71,6
72,5
73,2
74,6
75,1
76,3
77,3
78,6
79,5
80,1
81,3
82,3
83,6
84,5
85,6
86,6
87,2
88,3
89,4
90,6
91,6
92,2
93,3
94,4
95,2
96,5
97,5
98,5
99,4
100,2
101,5
102,5
103,5
104,4
105,4
106,1
107,1
108,1
109,5
110,4
111,1
112,1
113,1
114,5
115,5
116,2
117,6
118,4
119,1
120,5
121,2
122,6
123,4
124,1
125,5
126,3
127,2
128,5
129,5
130,5
131,3
132,2
133,5
134,5
135,4
136,4
137,1
138,4
139,5
140,4
141,4
142,1
143,4
144,5
145,4
146,5
147,1
148,4
149,1
150,4
151,5
152,1
153,4
154,1
155,4
156,1
157,1
158,4
159,4
160,4
161,1
162,1
163,4
164,4
165,6
166,5
167,5
168,5
169,6
170,6
171,5
172,5
173,5
174,6
175,2
176,6
177,1
178,5
179,2
180,2
181,6
182,1
183,5
184,2
185,4
186,4
187,4
188,4
189,3
190,4
191,4
192,4
193,4
194,3
195,5
196,3
197,5
198,4
199,1
200,5
201,3
202,5
203,4
204,1
205,4
206,6
207,4
208,4
209,2
210,4
211,6
212,4
213,4
214,2
215,4
216,6
217,1
218,3
219,6
220,4
221,6
222,1
223,3
224,6
225,1
226,4
227,5
228,6
229,6
230,1
231,4
232,5
233,6
234,6
235,1
236,4
237,2
238,2
239,6
240,1
241,4
242,2
243,2
244,6
245,4
246,1
247,6
248,6
249,1
250,4
251,1
252,6
253,6
254,1
255,5
256,2
257,1
258,5
259,1
260,5
261,2
262,1
263,5
264,1
265,1
266,1
267,4
268,4
269,1
270,1
271,1
272,4
273,4
274,1
275,3
276,3
277,2
278,1
279,2
280,3
281,3
282,2
283,1
284,2
285,4
286,4
287,3
288,5
289,3
290,4
291,4
292,3
293,5
294,3
295,1
296,1
297,4
298,2
299,2
300,1
301,1
302,4
303,2
304,2
305,5
306,2
307,6
308,5
309,1
310,5
311,2
312,6
313,5
314,1
315,1
316,1
317,3
318,1
319,3
320,1
321,1
322,3
323,1
324,3
325,3
326,1
327,5
328,4
329,3
330,3
331,1
332,5
333,4
334,3
335,3
336,1
337,6
338,6
339,2
340,3
341,1
342,6
343,6
344,2
345,4
346,6
347,4
348,1
349,2
350,4
351,6
352,4
353,1
354,2
355,1
356,1
357,3
358,2
359,1
360,1
361,1
362,3
363,2
364,1
365,5
366,6
367,1
368,5
369,6
370,5
371,6
372,1
373,5
374,6
375,5
376,1
377,1
378,5
379,2
380,5
381,1
382,1
383,5
384,2
385,6
386,1
387,3
388,5
389,6
390,6
391,1
392,3
393,5
394,6
395,2
396,3
397,2
398,6
399,2
400,2
401,3
402,2
403,6
404,2
405,2
406,2
407,4
408,4
409,2
410,2
411,2
412,4
413,4
414,2
415,4
416,6
417,4
418,1
419,5
420,4
421,6
422,4
423,1
424,5
425,3
426,1
427,5
428,6
429,6
430,3
431,1
432,5
433,6
434,6
435,5
436,2
437,4
438,6
439,2
440,5
441,2
442,4
443,6
444,2
445,3
446,2
447,1
448,5
449,4
450,3
451,2
452,1
453,5
454,4
455,2
456,4
457,4
458,4
459,1
460,2
461,4
462,4
463,4
464,1
465,1
466,1
467,2
468,1
469,4
470,1
471,1
472,2
473,1
474,4
475,1
476,5
477,5
478,5
479,5
480,1
481,5
482,5
483,5
484,5
485,3
486,2
487,4
488,3
489,4
490,3
491,2
492,4
493,3
494,4
495,5
496,5
497,2
498,1
499,1
500,5
501,5
502,2
503,1
504,1
505,1
506,6
507,4
508,4
509,4
510,1
511,6
512,4
513,4
514,4
515,3
516,6
517,3
518,2
519,1
520,3
521,6
522,3
523,2
524,1
525,6
526,1
527,2
528,5
529,5
530,6
531,1
532,2
533,5
